,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing
0,saleor,saleor/saleor,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2023-12-21 14:41:59,2023-12-21 07:42:33,21002,232.0,5082.0,372,9627.0,569.0,3610.0,19439,2023-12-21 11:26:45,3.17.16,83.0,27.0,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,283.0,33,True,others,1
1,langflow,logspace-ai/langflow,https://github.com/logspace-ai/langflow,https://github.com/logspace-ai/langflow,MIT,2023-02-08 22:28:03,2023-12-21 19:04:37,2023-12-21 19:04:36,7286,1898.0,2021.0,122,688.0,50.0,414.0,13863,2023-12-13 22:12:35,0.6.2,852.0,121.0,100.0,"Langflow is a UI for LangChain, designed with react-flow to provide an effortless way to experiment and prototype flows.",672.0,672.0,78.0,33,True,others,1
2,dd-trace-py,DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,,2016-06-20 18:52:23,2023-12-21 18:59:54,2023-12-21 18:59:53,6336,421.0,358.0,518,7070.0,25.0,870.0,455,2023-12-20 16:06:46,2.4.0,72.0,10.0,100.0,Datadog Python APM Client.,1627.0,1627.0,246.0,29,False,others,1
3,memray,bloomberg/memray,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2023-12-20 02:48:47,2023-12-18 22:54:56,1135,59.0,341.0,58,320.0,13.0,127.0,11679,2023-12-04 20:03:53,1.11.0,,,17.0,The endgame Python memory profiler.,269.0,269.0,42.0,28,True,others,1
4,marvin,PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,Apache-2.0,2023-03-10 18:44:40,2023-12-21 14:40:59,2023-12-20 16:38:36,2558,365.0,249.0,36,537.0,44.0,101.0,3991,2023-11-06 18:57:55,1.5.6,,,43.0,Build AI interfaces that spark joy.,111.0,111.0,29.0,27,True,others,1
5,aiida-core,aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,,2016-12-23 15:38:21,2023-12-21 18:25:12,2023-12-21 18:16:33,11679,104.0,163.0,25,3140.0,434.0,2590.0,391,2023-12-20 20:37:21,2.5.0,,,30.0,The official repository for the AiiDA code.,273.0,273.0,114.0,27,False,others,1
6,poetry2nix,nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2023-12-20 21:03:15,2023-12-20 12:40:10,2673,315.0,308.0,9,1063.0,119.0,281.0,627,2023-12-20 12:48:58,2023.12.2046136,,,100.0,Convert poetry projects to nix automagically [maintainer=@adisbladis].,,,237.0,24,True,others,1
7,OF-Scraper,datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,MIT,2023-03-22 11:35:12,2023-12-19 14:06:47,2023-12-19 13:59:37,2290,206.0,31.0,14,17.0,17.0,240.0,304,2023-12-19 14:06:47,471cde1,2254.0,2254.0,100.0,"A completely revamped and redesigned fork, reimagined from scratch based on the original onlyfans-scraper.",1.0,1.0,10.0,23,True,others,1
8,evm-semantics,runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,BSD-3-Clause,2016-10-03 02:08:34,2023-12-21 16:28:56,2023-12-21 13:41:33,3086,102.0,102.0,55,1884.0,78.0,249.0,490,2023-12-21 14:04:22,1.0.405,,,100.0,K Semantics of the Ethereum Virtual Machine (EVM).,,,80.0,22,True,others,1
9,starwhale,star-whale/starwhale,https://github.com/star-whale/starwhale,https://github.com/star-whale/starwhale,Apache-2.0,2021-12-30 14:26:20,2023-12-21 10:32:13,2023-12-21 03:04:51,2275,280.0,28.0,6,2527.0,151.0,414.0,175,2023-12-07 02:25:41,0.6.8,,,43.0,an MLOps/LLMOps platform.,3.0,3.0,10.0,22,True,others,1
10,YiVal,YiVal/YiVal,https://github.com/YiVal/YiVal,https://github.com/YiVal/YiVal,Apache-2.0,2023-07-15 02:04:35,2023-12-21 04:47:01,2023-12-21 04:44:43,809,455.0,401.0,239,245.0,10.0,9.0,2269,2023-12-08 07:20:29,0.1.0a10,,,9.0,Your Automatic Prompt Engineering Assistant for GenAI Applications.,,,48.0,21,True,others,1
