,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
0,langflow,logspace-ai/langflow,https://github.com/logspace-ai/langflow,https://github.com/logspace-ai/langflow,MIT,2023-02-08 22:28:03,2024-02-29 18:18:25,2024-02-29 17:12:43,7912,1075.0,2177.0,131,801.0,146.0,437.0,14736,2024-02-28 16:20:27,0.6.8,794.0,99.0,100.0,Langflow is a dynamic graph where each node is an executable unit. Its modular and interactive design fosters rapid..,847.0,847.0,92.0,33,True,others,1,,
1,saleor,saleor/saleor,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2024-02-29 15:09:07,2024-02-29 13:18:56,21088,124.0,5126.0,370,9920.0,561.0,3700.0,19792,2024-02-26 10:38:34,3.19.4,175.0,58.0,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,289.0,32,True,others,1,-1.0,
2,dd-trace-py,DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,https://github.com/DataDog/dd-trace-py,,2016-06-20 18:52:23,2024-02-29 18:18:31,2024-02-29 17:47:06,6654,401.0,366.0,531,7586.0,44.0,917.0,474,2024-02-22 16:46:50,2.6.5,,,100.0,Datadog Python APM Client.,1709.0,1709.0,254.0,29,False,others,1,,
3,memray,bloomberg/memray,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11,2024-02-23 15:26:24,2024-02-23 15:26:23,1169,44.0,352.0,57,341.0,16.0,135.0,12312,2023-12-04 20:03:53,1.11.0,,,17.0,Memray is a memory profiler for Python.,312.0,312.0,45.0,28,True,others,1,,
4,marvin,PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,https://github.com/PrefectHQ/marvin,Apache-2.0,2023-03-10 18:44:40,2024-02-25 06:50:50,2024-02-23 01:50:28,3029,615.0,288.0,35,659.0,52.0,124.0,4437,2024-02-13 21:08:29,2.1.5,,,51.0,Build AI interfaces that spark joy.,131.0,131.0,37.0,27,True,others,1,,
5,aiida-core,aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,https://github.com/aiidateam/aiida-core,,2016-12-23 15:38:21,2024-02-29 14:49:03,2024-02-28 09:24:50,11711,68.0,172.0,26,3184.0,440.0,2599.0,393,2023-12-20 20:37:21,2.5.0,,,30.0,The official repository for the AiiDA code.,285.0,285.0,117.0,27,False,others,1,,
6,harlequin,tconbeer/harlequin,https://github.com/tconbeer/harlequin,https://github.com/tconbeer/harlequin,MIT,2023-05-02 15:44:31,2024-02-22 22:35:19,2024-02-22 22:34:41,256,60.0,51.0,15,298.0,20.0,115.0,2192,2024-02-22 22:35:19,1.16.0,239.0,26.0,55.0,The SQL IDE for Your Terminal.,66.0,66.0,10.0,23,True,others,1,2.0,
7,poetry2nix,nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2024-02-29 07:19:17,2024-02-22 08:17:04,2753,115.0,346.0,9,1116.0,131.0,284.0,680,2024-02-22 08:30:18,2024.2.2230616,,,100.0,Convert poetry projects to nix automagically [maintainer=@adisbladis].,,,256.0,23,True,others,1,-1.0,
8,OF-Scraper,datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,https://github.com/datawhores/OF-Scraper,MIT,2023-03-22 11:35:12,2024-02-27 12:01:02,2024-02-27 11:53:59,2674,450.0,33.0,15,21.0,17.0,295.0,399,2024-02-27 12:01:02,4e3f012,2536.0,2536.0,100.0,"A completely revamped and redesigned fork, reimagined from scratch based on the original onlyfans-scraper.",1.0,1.0,12.0,23,True,others,1,,
9,evm-semantics,runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,https://github.com/runtimeverification/evm-semantics,BSD-3-Clause,2016-10-03 02:08:34,2024-02-29 17:15:40,2024-02-29 15:02:15,3150,89.0,103.0,54,1960.0,71.0,267.0,495,2024-02-29 15:23:47,1.0.469,,,100.0,K Semantics of the Ethereum Virtual Machine (EVM).,,,80.0,22,True,others,1,,
10,PlexTraktSync,Taxel/PlexTraktSync,https://github.com/Taxel/PlexTraktSync,https://github.com/Taxel/PlexTraktSync,MIT,2019-10-21 20:26:32,2024-02-29 18:18:42,2024-02-29 14:51:50,3736,433.0,97.0,24,1150.0,22.0,403.0,1359,,,,,,"A python script that syncs the movies, shows and ratings between trakt and Plex (without needing a PlexPass or Trakt..",,,32.0,21,True,others,1,,
11,polar,polarsource/polar,https://github.com/polarsource/polar,https://github.com/polarsource/polar,Apache-2.0,2023-01-26 10:04:27,2024-02-29 17:18:00,2024-02-29 15:57:17,4347,1214.0,35.0,5,1934.0,74.0,585.0,1090,2024-02-09 08:43:37,jssdk/v0.3.0,,,4.0,Polar is the creator platform for developers & the open source ecosystem.,,,19.0,21,True,others,1,,
12,backend.ai,lablup/backend.ai,https://github.com/lablup/backend.ai,https://github.com/lablup/backend.ai,LGPL-3.0,2016-10-06 05:08:49,2024-02-29 17:17:02,2024-02-29 07:20:28,1699,116.0,126.0,24,1253.0,246.0,438.0,459,2024-01-20 18:04:03,23.09.8,4830.0,75.0,100.0,"Backend.AI is a streamlined, container-based computing cluster platform that hosts popular computing/ML frameworks and..",,,79.0,21,True,others,1,,
